,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92
DGB01,0,0,0.444444444,0.222222222,0.222222222,0,0.666666667,1.111111111,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0.222222222,0,0,0,0.222222222,0,0,0,0,0,0.222222222,0.444444444,0,0,0,0,0.222222222,1.555555556,0,0.444444444,0,0,0,0,0,0,0,0,0,0,21.55555556,2,0,0,2.444444444,0,0,0,0,0,0,3.777777778,0,0,0,0,1.555555556,0,0,0,0,0,0,0,0,28.88888889,0,0.888888889,12,0,0,0,18,0,11.55555556,0,0,0.444444444,0,0,13.55555556
DGB02,0,0,0,0.444444444,0.222222222,0,0.222222222,1.333333333,0,0,12,0,0,0,0,0.222222222,0,0,0,0,0,0.222222222,0,0,0,0.222222222,0,0,0,0.444444444,0,0.222222222,1.333333333,0,0,0,0,0.666666667,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,18.22222222,6,0,0,3.777777778,0,0,0,0,0,0,5.111111111,0,0,0,0,3.555555556,0,0,0,0,0,0,0,0,13.77777778,0,0.444444444,52.44444444,0,0,0,8.444444444,2.444444444,4,0,0,0,0,0,15.33333333
DGB03,0,0,0,0.444444444,0.222222222,0,0.222222222,0.444444444,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0.222222222,0,0,0,0.666666667,0,0,0,0,0,0.222222222,1.333333333,0,0,0,0,0.222222222,0.444444444,0,0,0,0,0.444444444,0,0,0,0,0,0,0,13.33333333,3.555555556,0,0,2.666666667,0,0,0,0,0,0,2,0,0,0,0,5.333333333,0,0,0,0,0,0,0,0,12.22222222,0,1.333333333,18.88888889,0,0,0,8.888888889,3.111111111,4.666666667,0,0,0,0,0,13.55555556
NLL01,0,0,0,0,0,0,0.222222222,0.666666667,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0.222222222,0,0,0,0,0.888888889,0,0,10.88888889,1.111111111,0,1.777777778,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,7.333333333,0,0.444444444,43.33333333,0,2.444444444,0,0,3.555555556,2.444444444,0,0,0,0,0,26
NLL02,0,0,0,0.888888889,0,0,0.222222222,0.222222222,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0.222222222,0,0,0,0,0,0,0,9.111111111,1.333333333,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.666666667,20.88888889,0,1.555555556,0,0,0,3.555555556,0,0,0,0,0,14.44444444
NLL03,0,0,0,0,0,0,0.444444444,0.666666667,0.444444444,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0.222222222,0,0,0,0.444444444,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0.222222222,0,0,0,0,0.222222222,0,0,0,0,0,0,0,8.666666667,1.333333333,0,0.888888889,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,8.222222222,0,0.444444444,31.77777778,0,3.111111111,0,0,1.111111111,3.555555556,0,0,0,0,0,18
WN01,0,0.296296296,0.148148148,0,0.148148148,0,0.444444444,3.703703704,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0.296296296,0,0,0,0,0,0.592592593,0,0,0,0,0,0.296296296,1.037037037,0,0,0,0,0,0,0,0,0,0,0,4.444444444,11.40740741,8.148148148,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,2.222222222,0,0,10.81481481,0,1.037037037,0,0,0,0,0,0,0,0,0,4.444444444
WN02,0,5.333333333,2,0,0.222222222,0,1.777777778,17.11111111,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,1.777777778,0,0,0,0,0,0.444444444,2.666666667,0,0,0,0,0,0,0,0,0,0,0,4.444444444,13.33333333,12.88888889,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,2.444444444,0,0,14.88888889,0,0.222222222,0,0,0,0,0,0,0,0,0,6.222222222
WN03,0,22.07407407,0.296296296,0,0.296296296,0,1.037037037,13.92592593,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0.148148148,0,0,0.148148148,0,0,5.62962963,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0.740740741,1.481481481,2.666666667,0,0.296296296,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0.148148148,0,0,5.481481481,0,0,0,0,0,0.148148148,0,0,0,0,0,1.62962963
BT01,0,0.037037037,0.074074074,0,0.185185185,0,0.777777778,0.222222222,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0.185185185,0,0.111111111,0,0,0.037037037,0,0,0,0,0,0,0,0.074074074,1.851851852,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,4.037037037,0,0.074074074,0,0,0.037037037,0.407407407,0,0,0,0,0,0.518518519
BT02,0,4.888888889,0.074074074,0,0.148148148,0,2.666666667,0.222222222,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0.37037037,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0.148148148,6.666666667,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0.296296296,0,0,10.51851852,0,0.074074074,0,0,0.148148148,0.074074074,0,0,0,0,0,0.740740741
BT03,0,12.44444444,0.444444444,0,0.296296296,0,2.074074074,0.592592593,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0.296296296,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0.148148148,21.03703704,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,1.481481481,0,0,20.14814815,0,1.925925926,0,0,0.148148148,0.296296296,0,0,0,0,0,2.962962963
