,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92
HJ03,0,0,0,0,0,0,0.111111111,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,1.962962963,0,0,0,0.666666667,0,0,0,0,0,0,0,0.074074074,0.074074074,0,0,0,0,0.185185185,0,0,3.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,7.444444444,0,0.259259259,0,0,0,0.222222222,0,0,0,0,0,3.851851852
HJ04,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0.074074074,0,0,0,0,0,0,0,0.592592593,0,0,0,0,0,0.407407407,0,0,2.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,0,0,0.111111111,3.555555556,0,0,0,0,0,0.296296296,0,0.592592593,0,0,0,4.444444444
HJ05,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0.074074074,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0.111111111,0,0,2.222222222,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,1.481481481,0,0,0,2.37037037,0,0.037037037,0,0,0,0.407407407,0,2.333333333,0.407407407,0,0,3.703703704
HJ06,0,0,0,0,0,0,0.148148148,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259259259,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,2.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0.407407407,0,0,3,0,0.074074074,0,0,0,0.407407407,0,0,0.888888889,0,0,2.37037037
QD01,0.148148148,0,0,0,0.148148148,0,4.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0.444444444,0,0,0,7.62962963,0,0,0,0,0,0,0,0,2.259259259,0,0,0
QD02,0.148148148,0,0,0,0,0,2.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.740740741,0,0,0.592592593,5.962962963,0,0,0,0,0,0,0,0,0.925925926,0,0,0.407407407
QD03,0.148148148,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0.333333333,0,0,0,4.481481481,0,0,0,0,0.074074074,0.111111111,0,0,0.703703704,0,0,0
QD04,1.185185185,0,0,0,0,0,1.481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.148148148,0,0,0.148148148,5.777777778,0,0,0,0,0,0,0,0,0.703703704,0,0,0
QD05,0.037037037,0,0,0,0,0,2.518518519,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0,8.518518519,0,0,0,0,0.259259259,0,0,0,1.925925926,0,0,0
NX01,0,0,0,0,0.888888889,0,0,0,0,0,3.333333333,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,4.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,1.777777778,0,0,0,0,0,0,0,0,8.296296296,0,0,0.148148148,0,0,0.740740741,0,0,0,0,0,0,0,0,3.037037037,0,0,0,7.407407407,0,0.740740741,0,0,0.444444444,0,0,0,0.148148148,0,0,0.222222222
