,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
36,0.42,0.05,0.321428571,0.083333333,0.818181818,0,0.5
37,0.806,0.07,0.198412698,0,0.727272727,0,0.666666667
38,1.157,0.08,0.243055556,0,0.727272727,0,0.666666667
39,1.224,0.019,0.092307692,0.208333333,0.636363636,0.1,0.5
40,0.68,0.016,0.111111111,0.19047619,0.25,0.75,0.5
41,0.163,0.003,0,0.19047619,0.097902098,0.033333333,0.5
42,0.017,0.008,0.101010101,0.133333333,0.038461538,0.1,0.5
43,0.581,0.031,0.095238095,0.083333333,0,0.2,0.5
44,0.683,0.014,0.055555556,0.133333333,0,0.333333333,0.5
45,0.39,0.067,0.055555556,0,0.097902098,0.1,0.5
46,0.266,0.066,0.055555556,0,0.727272727,0.133333333,0.666666667
47,0.278,0.08,0.095238095,0,0.097902098,0.133333333,0.666666667
48,0.308,0.069,0.142857143,0,0.636363636,0.133333333,0.666666667
49,0.844,0.06,0.15,0,0.051282051,0.133333333,0.5
50,1.006,0.011,0.321428571,0.19047619,0,0.1,0.5
51,0.128,0.012,0.208333333,0.166666667,0.25,0,0.5
52,0.395,0.005,0.095238095,0.133333333,0.138461538,0,0.5
53,0.12,0.009,0.089285714,0.133333333,0.129807692,0.2,0.5
54,0.221,0.03,0.095238095,0,0.170940171,0.133333333,0.666666667
55,0.039,0.061,0.225,0,0.297619048,0.1,0.666666667
56,0.387,0.085,0.095238095,0,0.192307692,0.133333333,0.666666667
57,0.411,0.043,0.083333333,0,0.097402597,0.133333333,0.666666667
58,0.682,0.044,0.15,0,0.192307692,0.133333333,0.666666667
59,0.073,0.023,0.288461538,0.083333333,0.192307692,0,0.5
60,1.181,0.015,0.25,0.208333333,0.138461538,0.75,0.5
61,0.996,0.01,0.095238095,0,0.25,0.5,0.5
62,0.653,0.065,0.857142857,0.208333333,0.051282051,0.5,0.5
63,1.097,0.013,0,0.19047619,0.051282051,0.25,0.5
