,taxa,class
111,K125,Algae
112,K202,Algae
113,K159,Algae
114,K111,Algae
115,K144,Algae
116,K142,Algae
117,K126,Algae
118,K173,Algae
119,K145,Algae
120,K146,Algae
121,K168,Algae
122,K177,Algae
123,K140,Algae
124,K148,Algae
125,K169,Algae
126,K117,Algae
127,K160,Algae
128,K147,Algae
129,K109,Algae
130,K127,Algae
131,K217,Algae
132,K128,Algae
133,K161,Algae
134,K112,Algae
135,K212,Algae
136,K136,Algae
137,K137,Algae
138,K176,Algae
139,K162,Algae
140,K163,Algae
141,K129,Algae
142,K166,Algae
143,K164,Algae
144,K170,Algae
145,K205,Algae
146,K165,Algae
147,K001,Cyanobacteria
148,K002,Cyanobacteria
149,K003,Cyanobacteria
150,K178,Cyanobacteria
151,K005,Cyanobacteria
152,K215,Cyanobacteria
153,K216,Cyanobacteria
154,K006,Cyanobacteria
155,K009,Cyanobacteria
156,K010,Cyanobacteria
157,K181,Cyanobacteria
158,K182,Cyanobacteria
159,K004,Cyanobacteria
160,K011,Cyanobacteria
161,K007,Cyanobacteria
162,K012,Cyanobacteria
163,K013,Cyanobacteria
164,K183,Cyanobacteria
165,K223,Cyanobacteria
166,K031,Cyanobacteria
167,K184,Cyanobacteria
168,K188,Cyanobacteria
169,K032,Cyanobacteria
170,K033,Cyanobacteria
171,K185,Cyanobacteria
172,K186,Cyanobacteria
173,K034,Cyanobacteria
174,K035,Cyanobacteria
175,K036,Cyanobacteria
176,K187,Cyanobacteria
177,K037,Cyanobacteria
178,K038,Cyanobacteria
179,K039,Cyanobacteria
180,K023,Cyanobacteria
181,K024,Cyanobacteria
182,K017,Cyanobacteria
183,K026,Cyanobacteria
184,K027,Cyanobacteria
185,K028,Cyanobacteria
186,K029,Cyanobacteria
187,K014,Cyanobacteria
188,K019,Cyanobacteria
189,K191,Cyanobacteria
190,K016,Cyanobacteria
191,K021,Cyanobacteria
192,K018,Cyanobacteria
193,K022,Cyanobacteria
194,K015,Cyanobacteria
195,Z014,Cladocera
196,Z015,Cladocera
197,Z018,Cladocera
198,Z019,Cladocera
199,Z020,Cladocera
200,Z021,Cladocera
201,Z022,Cladocera
202,Z023_1,Cladocera
203,Z023_2,Cladocera
204,Z023_3,Cladocera
205,Z024,Cladocera
206,Z025,Cladocera
207,Z026,Cladocera
208,Z027,Cladocera
209,Z028,Cladocera
210,Z030,Cladocera
211,Z032,Cladocera
212,Z002,Copepod
213,Z003,Copepod
214,Z004,Copepod
215,Z005,Copepod
216,Z006,Copepod
217,Z007,Copepod
218,Z008,Copepod
219,Z009,Copepod
220,Z011,Copepod
221,Z010,Copepod
222,Z080,Copepod
223,Z012,Copepod
224,Z013,Copepod
225,Z036,Rotifer
226,Z034,Rotifer
227,Z035,Rotifer
228,Z037,Rotifer
229,Z038,Rotifer
230,Z039,Rotifer
231,Z074,Rotifer
232,Z067,Rotifer
233,Z040,Rotifer
234,Z041,Rotifer
235,Z042,Rotifer
236,Z043,Rotifer
237,Z044,Rotifer
238,Z045,Rotifer
239,Z046,Rotifer
240,Z047,Rotifer
241,Z048,Rotifer
242,Z077,Rotifer
243,Z049,Rotifer
244,Z051,Rotifer
245,Z052,Rotifer
246,Z054,Rotifer
247,Z055,Rotifer
248,Z056,Rotifer
249,Z057,Rotifer
250,Z058,Rotifer
251,Z076,Rotifer
252,Z078,Rotifer
253,Z059,Rotifer
254,Z060,Rotifer
255,Z061,Rotifer
256,Z062,Rotifer
257,Z063,Rotifer
258,Z065,Rotifer
259,Z068,Rotifer
260,Z079,Rotifer
261,Z069,Rotifer
262,Z071,Rotifer
