,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
47,0.278,0.08,0.571428571,0,0.363636364,0.666666667,0
48,0.308,0.069,0,0,0,0.666666667,0
49,0.844,0.06,0.25,1,0.333333333,0.666666667,0
50,1.006,0.011,0.25,0.666666667,0.307692308,0.5,0
51,0.128,0.012,0.666666667,0.666666667,0.25,0.666666667,0
52,0.395,0.005,0.571428571,0.666666667,0.4,0.4,0
53,0.12,0.009,0.285714286,0.666666667,0.307692308,0,0
54,0.221,0.03,0.571428571,0,0.444444444,0.666666667,0
55,0.039,0.061,0.4,1,0.285714286,0.5,0
56,0.387,0.085,0.571428571,0,0.5,0.666666667,0
57,0.411,0.043,0.25,0,0.545454545,0.666666667,0
58,0.682,0.044,0.25,0.666666667,0.5,0.666666667,0
59,0.073,0.023,0.25,0.666666667,0.5,1,0
60,1.181,0.015,0.25,0.666666667,0.4,0,0
61,0.996,0.01,0.571428571,1,0.25,0,0
62,0.653,0.065,0,0.666666667,0.615384615,0,0
63,1.097,0.013,0.444444444,0.666666667,0.615384615,0,0
64,0.475,0.01,0.25,0.666666667,0.363636364,0,0
65,0.086,0.013,0.25,1,0.285714286,0.4,0
66,0.146,0.059,0.285714286,0,0.571428571,0.666666667,0
67,0.305,0.049,0,0,0,0,0
68,0.476,0.047,0.333333333,1,0,0,0
69,0.745,0.03,0.333333333,1,0,1,0
70,1.116,0.014,0.25,1,0,0.666666667,0
71,1.435,0.035,0.6,1,0.5,0,0
72,0.835,0.03,0.727272727,0.666666667,0.285714286,0,0
73,0.086,0.217,0,0.666666667,0,0,0
74,0.385,0.141,0.5,0.666666667,0.363636364,0.5,0
75,0.69,0.018,0.444444444,1,0.4,0.5,0
76,1.094,0.024,0.444444444,0,0.307692308,0.5,0
77,1.519,0.117,0,0,0.2,0.666666667,0
78,0.072,0.069,0.444444444,0,0.307692308,0.8,0
79,0.039,0.064,0.5,0,0,0,0
80,0.1,0.035,0.6,0,0,0.666666667,0
81,0.427,0.028,0.6,1,0.2,0.666666667,0
82,0.783,0.014,0,1,0.2,0.5,0
83,0.822,0.052,0.25,0,0.222222222,0.666666667,0
84,1.039,0.033,0.444444444,0.666666667,0.25,0,0
85,0.57,0.109,0,0.666666667,0.4,0,0
86,0.75,0.042,0.444444444,0.666666667,0.307692308,0,0
87,0.566,0.061,0.25,0.666666667,0.428571429,0.4,0
88,0.312,0.022,0.285714286,0.666666667,0.333333333,0,0
89,0.208,0.008,0.25,1,0.4,0.666666667,0
90,0.076,0.04,0.6,1,0,0.666666667,0
91,0.467,0.022,0.6,0.666666667,0.5,0,0
92,0.456,0.018,0.6,0.666666667,0,0.666666667,0
93,0.464,0.052,0.6,0.666666667,0,0,0
94,0.958,0.015,0.25,1,0,0,0
95,1.01,0.046,0.444444444,1,0,1,0
