"","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"1989/7/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,1.5,0
"1989/8/9",0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,1,0,9.5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0
"1989/9/6",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.5,0,6.5,0,19.5,1.5,19,0,0,2,0,0,0,0,0,0,0,0,115,0.5,0,0,570,0
"1989/10/11",0,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,11,0,15,0,0,2,0,0,0,0,0,0,0,0,118,0,0,0,26,0
"1989/12/13",0,2.5,0,0.5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1.5,0,42,0,0,1,0,0,0,0,0,0,0,0,71.5,0.5,0,0,14.5,0
"1990/1/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"1990/2/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"1990/3/14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
"1990/4/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0
"1990/5/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,10,0
"1990/6/13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,5.5,0,211,0,18.5,0
"1990/7/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"1990/8/8",0,0,2,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,38,0,23,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,221,0
"1990/9/12",0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,134,0,0,4,0,0,0,0,0,0,0,0,220,32,0,0,182,0
"1990/11/7",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,58,4,0,0,43,0
"1990/12/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,15,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2.5,0
