"","Date","Station","Z002","Z003","Z004","Z005","Z006","Z007","Z008","Z009","Z011","Z010","Z080","Z012","Z013","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023.1","Z023.2","Z023.3","Z024","Z025","Z026","Z027","Z028","Z030","Z032","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"170","1987/05/13",3,0,0,0,0.3,0,0,0,0,0,0,0,2.8,7.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","1987/06/10",3,0,0,0,5.5,0,0,0,0,0,0,0,14.5,58,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,254.5,0,0,0,70,1.5,1,25.5,0,0,0,0,1,0.5,0,0,0,0,0,0,5,0,11.5,0,0,6,2,0,0,0,0,0,0,0,519.5,1,0,0,0,0
"172","1987/07/08",3,0,0,0,30,0,0,0,0,0,0,0,10.5,221.5,0,1,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,3.5,0,0,0.5,0,0,0,0,0,0,0,0,3.5,0,0,0,2.8,0
"173","1987/08/05",3,0,0,0,4,0,0,0,0,0,0,0,45,130,0,185.5,0,0,0,0,0,0,0,0,134.5,0,0,0,0,4.5,0,0,0,0,0,0,18.5,0,0,1,0,0,0,0,0,0,0,2,0,1.5,0,20.5,0,0,53,1.5,0,0,0,0,0,0,0,94,13.5,0,0,20.5,0
"174","1987/09/09",3,0,0,0,4,0,0,0,0,0,0,0,88,211,0,855,0,0,0,0,0,0,0,0,141,0,0,0,0,6,0,0,0,4,1,0,116,0,1,1,0,0,0,0,0,1,0,20,0,48,0,765,0,0,185,129,0,0,0,0,0,0,0,166,206,0,0,49,0
"175","1987/10/14",3,0,0,0,1.3,0,0,0,0,0,0,0,16.3,52.8,2.8,14.3,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,1,0,2.3,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0,7.5,0,100.5,0,0,29,2.3,0,0,0,0,0,0,0,66.5,8.8,0,0,41.3,0
"176","1987/11/11",3,0,0,0,9,0,0,0,0,0,0,0,63.3,15.5,0.3,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0.3,0,0,0,6.8,0,0,50,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0
"177","1987/12/09",3,0,0,0,7.3,0,0,0,0,0,0,0,11.5,48,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8,0,0,1,0,0,0,0,0,0,0,0,139,0,0.3,0,0.3,0
"178","1988/01/13",3,0,0,0,0.5,0,0,0,0,0,0,0,85.5,219.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,117.5,0,0,0,0,0
"179","1988/02/10",3,0,0,0,0,0,0,0,0,0,0,0,42.5,117.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0.3,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0
"180","1988/03/09",3,0,0,0,0,0,0,0,0,0,0,0,21.8,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0
"183","1988/06/08",3,0,0,0,0.5,0,0,0,0,0,0,0,1.3,1.3,0,0.5,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,3,0,0,58.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","1988/07/13",3,0,0,0,43,0,0,0,0,0,0,0,49,477,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,362,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,11,0
"185","1988/08/10",3,0,0,0,15,0,0,0,0,0,0,0,35,279,2,0,0,0,0,0,0,0,0,0,193,0,0,0,0,23,0,0,0,36,0,0,117,0,0,0,0,0,0,0,0,0,0,1,0,144,1,53,0,0,9,0,0,0,0,0,0,0,0,37,0,0,0,21,0
