"","Anabaenopsis_circularis","Aphanizomenon_sp.","Aphanocapsa_sp.","Aphanothece_sp.","Chroococcus_sp.","Cylindrospermopsis_raciborskii","Lyngbya_sp.","Merismopedia_elegans","Merismopedia_punctata","Merismopedia_tenuissima","Microcystis_flosaquae","Pseudanabaena_sp.","Raphidiopsis_sp.","Spirulina_major"
"FJ2017069",0,0,0,0,118212.3585,0,0,0,3813.301887,0,6635145.283,0,0,0
"FJ2018018",0,0,0,0,21274.21053,0,0,0,10637.10526,0,0,2659.276316,13296.38158,0
"FJ2018064",6736.833333,0,134736.6667,269473.3333,111157.75,0,0,0,70736.75,0,0,6736.833333,188631.3333,0
"FJ2018072",0,0,0,153984.7619,86616.42857,19248.09524,0,0,67368.33333,0,0,9624.047619,317593.5714,0
"FJ2018091",0,0,0,0,58181.74242,0,0,0,39808.56061,0,0,18373.18182,18373.18182,0
"FJ2018092",0,0,0,0,0,0,0,0,5161450.769,0,0,917245.7692,77732.69231,0
"FJ2018094",0,0,0,0,20728.71795,0,0,0,80323.78205,0,0,5182.179487,82914.87179,0
"FJ2019003",0,0,0,0,21915,0,2435,0,2435,0,0,4870,36525,0
"FJ2019017",0,0,0,0,0,0,0,0,0,0,0,11750.2907,96352.38372,0
"FJ2019021",0,0,0,0,25664.12698,0,0,3208.015873,12832.06349,0,0,3208.015873,25664.12698,0
"FJ2019022",0,0,76266.03774,0,19066.50943,0,0,0,11439.90566,0,0,3813.301887,194478.3962,0
"FJ2019043",0,0,0,0,139918.8462,15546.53846,0,0,248744.6154,0,0,77732.69231,1150443.846,0
"FJ2019045",0,0,0,0,218947.0833,0,0,0,101052.5,0,0,0,2728417.5,0
"FJ2019046",16842.08333,0,0,269473.3333,218947.0833,0,0,0,185262.9167,0,0,0,3149469.583,0
"FJ2019049",0,0,161684,64673.6,210189.2,0,0,0,32336.8,0,0,40421,1026693.4,0
"FJ2019063",0,6736.833333,269473.3333,161684,229052.3333,0,0,6736.833333,114526.1667,0,0,13473.66667,74105.16667,0
"FJ2019064",9624.047619,0,384961.9048,923908.5714,356089.7619,0,0,0,173232.8571,0,0,0,19248.09524,0
"FJ2019067",0,0,0,146985.4545,330717.2727,0,0,0,18373.18182,0,0,0,0,0
