"","FJ2015045","FJ2015046","FJ2015047","FJ2015048","FJ2015061","FJ2015069","FJ2015070","FJ2015074","FJ2015075","FJ2015090","FJ2015094","FJ2015095","FJ2015096","FJ2015097","FJ2015098","FJ2015099","FJ2015100","FJ2016001","FJ2016016","FJ2016017","FJ2016018","FJ2016019","FJ2016020","FJ2016021","FJ2016022","FJ2016026","FJ2016041","FJ2016042","FJ2016043","FJ2016045","FJ2016046","FJ2016056","FJ2016060","FJ2016064","FJ2016066","FJ2016068","FJ2016069","FJ2016070","FJ2016071","FJ2016084","FJ2016088","FJ2016089","FJ2016090","FJ2016091","FJ2016093","FJ2016095","FJ2017001","FJ2017008","FJ2017017","FJ2017018","FJ2017019","FJ2017020","FJ2017022","FJ2017023","FJ2017024","FJ2017040","FJ2017041","FJ2017042","FJ2017043","FJ2017044","FJ2017045","FJ2017048","FJ2017049","FJ2017050","FJ2017062","FJ2017066","FJ2017067","FJ2017068","FJ2017069","FJ2018018","FJ2018064","FJ2018072","FJ2018091","FJ2018092","FJ2018094","FJ2019003","FJ2019017","FJ2019021","FJ2019022","FJ2019043","FJ2019045","FJ2019046","FJ2019049","FJ2019063","FJ2019064","FJ2019067","FJ2019068","FJ2019069","FJ2019086","FJ2019087","FJ2019088","FJ2019089","FJ2019090","FJ2019091","FJ2019092"
"Hexarthra_mira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.3333,1.6,0,0,0,0,0,0,0,0,0,8.125,0,0,0.6,0,0,0,0,0,0,0,0,0,0
"Keratella_cochlearis",0.2,0.8,0.2,0.1333,0,0,0,0,0,0.2,0.2,0,0.6,0.2,0,0.4,0,2.2,0.4,0,0.1333,0,0.6,2.1,0.3333,1.5,0,0,0,0,0,0,0,0,0.1333,0,0.1333,0.5,0,1.2,1.1667,1,0.1333,0.2667,0.1333,0.3,0.3,0.1333,0.3,0,0.3,0,0.1333,0.1333,0.2,0.35,0.1,0.6667,0.1667,0.1,0,0,0,0.1333,0.2,0.2,0,0,0.1333,5.7,0,0.1333,0.2667,0,0.0333,0,0.1,0,0,0,0,0,0,0.1,1.6,0.1667,0.1667,0.0667,0.05,0.0444,0.4444,0,0,0.1389,0
"Keratella_valga",0,0.2,0.2,0,2,1.3333,0.6667,0,0,0,0.2,0.1,1.6,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0.8333,0,0,0.4,0,0,0,0,0.1,0.1667,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.1667,0,0,0,0,0,0.4,0,0,0,0.9333,0,0,0.9333,0,0,0,0,0,0,0,0,0,0,1.7333,0.8,0.8,1.3333,0.1667,0.0667,0.05,0.0667,0.2222,0,0,0,0
"Notholca_fujianensis",0.2,0,0,0,0,0.2667,0.2667,0.4,0,0,0.1,0,0.4,0.2,0,0,14.6,0,0.0667,0,0,0,0.0667,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0.0667,0,0,0,0,0,0,0.1,0,0,0,0.1167,0,0,0.0833,0,0,0.0667,0,0,0,0.1,0,0,0.2667,0,0,0,0.1333,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ploesoma_hudsoni",0,2.4,0,0,0,0,0,0.2,1.8,1.4,0,0,0,0,0,0,0,0,0.6667,0,1.8,0,0.2,0,0.3333,2.25,0.1333,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0.2667,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0.5333,0,0,0.0333,2.3333,0,0.119,0.3333,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ploesoma_truncatum",0,0,0,0.6667,0,0,0,0,0,0,0,1.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0.0667,3,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1333,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyarthra_trigla",0.2,2.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2667,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0.3,0.3333,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyarthra_euryptera",0,0,0,0,0,0,0,0,0,0,0.2,0.1,11.8,3.2,12.8,13.2,0.1,1.4,0,0.1667,2.6667,5,3.1333,23.1,3,11.25,0,0,0,0,0,0,0,0,0,0,0.0333,1,0,0.2,0.1667,0,0.1333,0,0,0.1,0.1,0,0.1,0.1333,2.2,0.6,1.7333,0.8,2.8,0.1167,0,0,0.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0.0595,0,0.2333,0,0,0,0,0,0,0,0,0.35,0.0889,1.2222,1.7,1,0.2083,0.3333
"Synchaeta_stylata",8,0,4.6,0,1.6,0,0,0,0.2,6.4,1.4,2.2,1.2,0,0.4,4.2,2.1,11.2,0,0.1667,0.6667,0,0.7333,10.2667,9.1667,1.5,0,0.1,0,0,0,1,0.3333,0,0,0.0667,0,6,0,6.4,8.8333,0.7333,3.4667,2.2667,0.2667,7.3,0.1,0.2,0.1,0.5333,1,0.9,4.1333,0.4,0.4,0.2333,0,0.5333,0,0,0.1333,0,0,0,0,0,0,0,0,0,2.3333,2.6667,2.2667,1.4667,0.2333,19.1333,1.2,5.7143,11.5,2.3333,0,0,0,0,0.2,0,0,0.0667,0.05,0.9778,6.3333,4.3,0.9,0.5556,3.0667
"Trichocerca_capucina",0,8.6,0,0,24.4,0.5333,0.2667,1.2,0.5,0,0.1,0.7,0.4,0,0,0,0,0,0,0,0.0667,0,0,0,0.5,0,0,1.1,0.0667,0.45,0,5,7.1667,1.0833,4.8,0.0667,0,0,0,0.2,0.5,0.0667,0.1333,0,0.0667,0,0,0.0667,0,0,0.1,0,0,0,0.1,0.2333,0,0,0.4167,1,6.5333,26.6667,1.65,2.4,5.6,0.2,1.4667,14.1667,10,0,0,0,0,0,0,0,0,0.119,0,0.2333,0.2667,0.2083,1.4667,3.4,16.8,5,1.1667,0.9333,0.05,0.0222,0.1111,0,0,0,0
"Trichocerca_longiseta",0,0.2,0.2,0,1.2,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0.2,0.3333,0.1667,0,0,0,0,0,0,0,0.1,0,0,0,0.3333,11.5,0.0833,3.2,0,0.1,1,0,0.2,0.1667,0.0667,0.2667,0,0.0667,0,0,0,0,0,0,0,0,0.2667,0.9,0,0,0,0.1667,0.4,0,0.4,0.35,0.2667,0,0.1,0.2667,1.3333,5.0667,0,0.6667,0,0,0,0,0,0,0,0,0,1.6,0.2083,0.1333,0.2,0.4,0.1667,0,0.0667,0,0,0,0,0,0,0
"Trichocerca_similis",0,0.2,0,0,0,0,0.1333,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0.0667,0,0.0667,0,0,0,0,0,0,0,0,0.1,0,0.1667,0,0,0,0,0,0,0,0,0,0,0.1333,0.0667,0,0,0.1,0,0,0,0.1,0.1,0.0667,0.2667,0.1,0,0.1,0,0,0,0,0.6,0,0,0,0,0.1333,0,0,0.5,0,0.1333,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0
"Trichocerca_cylindrica",0,0.2,0,0,0,0,0,0.6,0.1,0.2,0.2,0.2,0.2,0,0,0,0,0,0.0667,0,0.1333,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fillnia_opoliensis",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0
