"","XH02","QDH03","QDH04","QDH05","HJ01","HJ02","HJ03","HJ04","HJ05","HJ06","NX04","NX05","XFJ01","XFJ02","XFJ03","XFJ04","XFJ05","XFJ06","LXH01","LXH02","LXH03","LXH04","LXH05","LXH06","GZ01","GZ02","GZ03","GZ04","GZ06"
"P87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,11228.07018,0
"P89",0,0,0,0,0,0,0,0,0,0,0,0,0,1734.809126,1906.653426,957.8448491,2094.355059,0,0,0,3962.848297,0,7626.613704,2464.698331,0,0,0,0,12631.57895
"P90",0,0,0,0,9186.602871,24497.60766,23319.83806,17323.30827,52723.11213,26078.09847,0,0,0,0,0,0,0,0,0,0,3962.848297,3484.573503,15253.22741,0,0,0,0,0,0
"P92",0,0,0,0,45933.01435,18373.20574,15546.5587,17323.30827,17574.37071,6519.524618,0,14436.09023,0,867.4045629,0,2873.534547,3141.532588,6851.02587,0,0,3962.848297,3484.573503,0,0,0,11228.07018,0,0,0
"P94",0,0,0,0,0,0,0,0,0,0,0,0,5318.559557,19950.30495,7626.613704,12451.98304,14660.48541,34255.12935,6969.147005,0,0,0,0,0,12631.57895,0,0,11228.07018,37894.73684
"P95",0,25263.15789,18373.20574,4990.253411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P96",0,0,9186.602871,0,101052.6316,67368.42105,108825.9109,167458.6466,105446.2243,78234.29542,388663.9676,202105.2632,0,0,0,0,0,0,0,0,0,0,3813.306852,0,0,0,0,0,0
"P104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,22456.14035,63157.89474
"P106",0,0,27559.80861,29941.52047,0,0,0,0,0,0,0,0,0,0,0,0,0,3425.512935,0,0,0,0,0,0,12631.57895,11228.07018,0,0,0
"P107",0,6315.789474,0,4990.253411,0,18373.20574,23319.83806,17323.30827,43935.92677,0,77732.79352,28872.18045,0,867.4045629,9533.26713,2873.534547,3141.532588,0,3484.573503,0,0,0,0,7394.094994,25263.15789,22456.14035,0,0,0
"P109",0,12631.57895,9186.602871,0,0,0,7773.279352,5774.43609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464.698331,0,0,0,0,0
"P110",0,0,0,0,0,0,0,0,17574.37071,58675.72156,0,0,0,0,15253.22741,0,6283.065176,0,6969.147005,18947.36842,3962.848297,0,7626.613704,9858.793325,25263.15789,0,0,0,12631.57895
"P111",0,0,0,0,0,0,0,5774.43609,0,6519.524618,0,0,2127.423823,6939.236503,1906.653426,1915.689698,0,0,0,0,0,0,0,0,0,0,0,11228.07018,12631.57895
"P112",15546.5587,0,0,7485.380117,4593.301435,0,0,0,0,0,0,0,0,0,0,0,0,20553.07761,0,0,0,0,0,0,0,0,0,0,0
