"","XH01","XH03","XH04","XH05","DQH01","DQH02","DQH03","DQH04","DQH05","QDH01","QDH02","QDH06","QDH07","QDH08","QDH09","QD01","QD02","QD03","QD04","QD05","NX01","NX02","NX03","NX06","SSLJH01","SSLJH02","SSLJH03","SSLJH04","DZ01","DZ02","DZ03","DZ04","DZ05","SM01","SM02","SM03","SM04","SM05","SM06","TX01","TX02","TX03","DSH01","DSH02","DSH03","DSH04","DSH05","DJS01","DJS02","DJS03","GZ05","WSJ01","WSJ02","WSJ03","HCJ01","HCJ02","HCJ03","HCJ04","SK01","QSJ01","QSJ02","QSJ03","NWL01","NWL02","NWL03","DGB01","DGB02","DGB03","NLL01","NLL02","NLL03","WN01","WN02","WN03","BT01","BT02","BT03"
"P120",0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20210.52632,0,0,28872.18045,0,0,0,0,0,0,0,50526.31579,0,0,0,13473.68421,0,0,0,0,0,0,0,0,67368.42105,0,50526.31579,50526.31579,0,0,0,0,0,0,0,0,12248.80383,0,0,0,33684.21053,0
"P121",0,0,0,471578.9474,247017.5439,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684.21053,0,0,6519.524618,0,0,22456.14035,33684.21053,0,0,16842.10526,0,0,0,0,0,0,0,0,0,26947.36842,0,36746.41148,0,0,67368.42105,67368.42105,202105.2632,0,0,0,0,0,50526.31579,0,55119.61722,0,12631.57895,12631.57895,0,0,24497.60766,16842.10526,0,0,0,0
"P122",0,0,0,0,0,0,0,0,40421.05263,26947.36842,50526.31579,43308.27068,0,20210.52632,33684.21053,0,0,0,0,0,0,0,0,0,43308.27068,94315.78947,50526.31579,67368.42105,0,0,0,0,0,13039.04924,37894.73684,101052.6316,44912.2807,101052.6316,57744.3609,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,134736.8421,0,0,28872.18045,0,0,0,101052.6316,0,0,0,0,0,12631.57895,0,21274.23823,18373.20574,16842.10526,21274.23823,0,0,0
"P123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44912.2807,18373.20574,0,44912.2807,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,195980.8612,311578.9474,0,555789.4737,303157.8947,404210.5263
"P124",0,0,0,0,0,0,0,0,0,13473.68421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16842.10526,22456.14035,0,0,0,0,0,0,0,40421.05263,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25263.15789,0,0,0,101052.6316,0,0,0,0,0,0,0,0,13938.29401,6315.789474,0,0,0,0,0,0,25263.15789,0,0
"P125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808421.0526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,48784.02904,18947.36842,0,0,0,36746.41148,0,85096.95291,0,0,0
"P127",0,0,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45636.67233,63157.89474,0,0,33684.21053,0,57744.3609,33684.21053,86616.54135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P128",0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,6124.401914,0,0,0,0,0
"P135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57744.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25263.15789,40421.05263,21274.23823,30622.00957,50526.31579,0,25263.15789,0,0
"P136",0,202105.2632,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,25263.15789,0,0,0,86616.54135,94315.78947,50526.31579,67368.42105,0,0,0,0,33684.21053,0,0,0,22456.14035,0,86616.54135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684.21053,0,101052.6316,0,0
"P137",101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45636.67233,0,0,0,0,0,28872.18045,0,19248.1203,0,40421.05263,67368.42105,50526.31579,0,0,0,0,0,0,36746.41148,0,0,0,0,0,57744.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,25263.15789
"P138",0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,25263.15789,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,20210.52632,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
