,C219,C220,C221,C223,C224,C225,C226,C228,C229,C232,C233,C234,C237,C238,C245,C246,C248,C249,C250,C251,C252,C255,C258,C260,C264,C265,C268,C269
QDH08,0,0,181894.7368,0,20210.52632,0,0,0,0,0,444631.5789,0,0,0,0,60631.57895,20210.52632,40421.05263,121263.1579,40421.05263,0,60631.57895,0,0,6507789.474,0,646736.8421,0
QDH09,235789.4737,0,33684.21053,0,33684.21053,0,0,0,0,0,15124210.53,0,0,0,0,0,0,0,0,370526.3158,33684.21053,235789.4737,0,0,303157.8947,0,0,0
QD01,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,115488.7218,0,0,0,0,0,0,0,0,0,230977.4436,0,4128721.805,0
QD02,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,161684.2105,363789.4737,0,0,0,0,0,0,0,0,0,0,4244210.526,0
QD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,101052.6316,0,0,0,0,0,0,0,0,101052.6316,0,3941052.632,0
QD04,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,121263.1579,525473.6842,0,40421.05263,0,0,0,0,0,0,0,0,8933052.632,0
QD05,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,230977.4436,0,0,0,0,0,0,0,0,28872.18045,0,8257443.609,0
NX01,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,25263.15789,0,25263.15789,0,0,0,0,0
NX02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684.21053,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0
NX03,0,0,0,0,0,0,0,0,0,0,73492.82297,0,0,0,0,0,0,0,0,0,18373.20574,18373.20574,18373.20574,0,0,0,0,0
NX06,0,0,0,101052.6316,0,0,0,0,0,0,57744.3609,0,0,0,0,0,0,346466.1654,0,0,14436.09023,14436.09023,0,0,14436.09023,0,0,0
SSLJH01,0,0,0,0,0,0,0,0,0,0,375338.3459,14436.09023,0,0,0,0,0,1126015.038,173233.0827,0,0,14436.09023,0,0,57744.3609,14436.09023,0,0
SSLJH02,13473.68421,0,13473.68421,0,0,0,0,0,0,0,471578.9474,0,0,0,13473.68421,0,0,363789.4737,80842.10526,0,0,53894.73684,0,0,134736.8421,175157.8947,0,0
SSLJH03,33684.21053,0,0,0,0,0,0,0,0,0,437894.7368,0,0,0,50526.31579,0,0,673684.2105,303157.8947,33684.21053,0,202105.2632,0,0,67368.42105,67368.42105,16842.10526,0
SSLJH04,44912.2807,0,0,0,0,0,0,0,0,0,830877.193,0,0,0,0,22456.14035,0,943157.8947,44912.2807,44912.2807,0,314385.9649,0,0,179649.1228,494035.0877,0,0
DZ01,0,0,0,0,2454135.338,0,0,0,0,0,28872.18045,0,0,0,0,7853233.083,0,0,0,0,0,0,0,0,144360.9023,0,0,2338646.617
DZ02,0,0,0,0,2560000,0,0,0,0,0,0,0,0,0,0,8084210.526,0,0,0,0,0,0,0,0,269473.6842,0,0,2930526.316
DZ03,0,0,0,0,2391578.947,0,0,0,0,0,0,0,0,0,0,9263157.895,0,0,0,0,0,0,0,0,134736.8421,0,0,1987368.421
DZ04,0,0,0,0,2887218.045,0,0,0,0,0,0,0,0,0,0,8170827.068,0,0,0,0,0,0,0,0,115488.7218,0,0,2223157.895
DZ05,0,0,0,0,2458947.368,0,0,0,0,0,0,0,0,0,0,10172631.58,0,33684.21053,0,0,0,0,0,0,0,0,0,2964210.526
SM01,0,0,13039.04924,0,39117.14771,0,0,0,0,0,123870.9677,0,0,0,0,19558.57385,0,0,19558.57385,0,0,0,0,0,0,423769.1002,0,0
SM02,0,0,12631.57895,0,50526.31579,0,0,0,0,0,126315.7895,0,0,0,12631.57895,12631.57895,0,0,12631.57895,0,0,0,0,0,164210.5263,2122105.263,12631.57895,0
SM03,0,0,20210.52632,0,101052.6316,0,0,0,0,0,80842.10526,0,0,0,20210.52632,80842.10526,0,0,20210.52632,0,0,0,0,0,424421.0526,4284631.579,20210.52632,0
SM04,0,0,0,0,0,269473.6842,0,0,0,0,224561.4035,0,0,0,22456.14035,224561.4035,0,22456.14035,0,0,0,0,22456.14035,0,314385.9649,4244210.526,0,0
SM05,0,0,0,0,0,168421.0526,0,0,0,134736.8421,269473.6842,0,0,0,0,1246315.789,0,33684.21053,33684.21053,0,0,33684.21053,0,0,1886315.789,6332631.579,0,0
SM06,28872.18045,0,0,0,0,86616.54135,0,0,0,0,115488.7218,28872.18045,0,0,0,895037.594,0,0,0,0,0,0,0,0,923909.7744,6698345.865,0,0
TX01,0,0,0,0,0,0,0,0,0,0,86616.54135,0,0,0,0,28872.18045,0,144360.9023,0,0,0,0,0,0,461954.8872,6727218.045,0,0
TX02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,117894.7368,0,0,0,0,0,0,269473.6842,3873684.211,0,0
TX03,0,0,0,0,0,0,0,0,0,0,48120.30075,0,0,0,0,0,19248.1203,28872.18045,0,0,0,0,0,0,192481.203,2406015.038,0,0
DSH01,50526.31579,0,50526.31579,0,0,0,0,50526.31579,101052.6316,960000,0,0,0,0,0,1515789.474,0,0,0,0,0,0,0,0,4193684.211,14602105.26,0,0
DSH02,121263.1579,0,80842.10526,40421.05263,0,0,0,0,121263.1579,687157.8947,0,0,0,0,0,1172210.526,0,0,0,0,0,40421.05263,40421.05263,0,3880421.053,12409263.16,0,0
DSH03,134736.8421,0,269473.6842,0,0,0,0,134736.8421,0,741052.6316,0,0,0,134736.8421,0,875789.4737,0,538947.3684,0,0,0,202105.2632,67368.42105,0,6063157.895,19469473.68,0,0
DSH04,0,0,0,0,0,0,0,101052.6316,151578.9474,1768421.053,0,0,50526.31579,1515789.474,0,2172631.579,0,50526.31579,0,50526.31579,0,50526.31579,0,0,5002105.263,303157.8947,0,0
DSH05,303157.8947,50526.31579,303157.8947,8791578.947,0,0,0,202105.2632,0,151578.9474,0,0,0,0,0,1263157.895,0,404210.5263,0,0,0,50526.31579,50526.31579,0,2829473.684,8336842.105,0,0
DJS01,0,0,101052.6316,0,0,0,0,0,0,707368.4211,0,0,0,0,0,808421.0526,0,0,101052.6316,0,0,0,101052.6316,48202105.26,0,0,0,1010526.316
DJS02,0,0,67368.42105,202105.2632,0,0,0,0,0,134736.8421,0,0,0,0,0,134736.8421,0,0,67368.42105,0,0,0,67368.42105,29035789.47,0,0,0,269473.6842
DJS03,0,0,0,404210.5263,67368.42105,0,0,0,0,404210.5263,0,0,0,0,0,269473.6842,0,0,67368.42105,0,0,67368.42105,0,25532631.58,0,0,0,404210.5263
GZ05,26947.36842,0,0,53894.73684,0,0,94315.78947,0,875789.4737,0,296421.0526,0,0,242526.3158,0,175157.8947,0,0,0,0,0,0,0,161684.2105,148210.5263,0,0,350315.7895
WSJ01,0,0,44912.2807,0,2357894.737,0,22456.14035,0,0,0,269473.6842,0,0,44912.2807,0,3480701.754,0,44912.2807,0,0,0,22456.14035,0,247017.5439,0,1302456.14,0,0
WSJ02,0,0,36746.41148,0,1157511.962,0,0,0,0,0,293971.2919,0,0,0,0,2590622.01,0,128612.4402,0,0,0,0,0,937033.4928,0,845167.4641,0,0
WSJ03,0,0,25263.15789,0,404210.5263,0,0,0,0,0,126315.7895,0,0,0,0,4471578.947,0,126315.7895,0,0,0,25263.15789,0,1566315.789,0,1692631.579,0,0
HCJ01,0,0,224561.4035,0,1145263.158,0,22456.14035,0,0,0,314385.9649,0,22456.14035,0,0,4760701.754,0,179649.1228,0,0,0,22456.14035,0,336842.1053,0,1280000,0,0
HCJ02,0,0,336842.1053,0,25128421.05,0,67368.42105,0,0,0,67368.42105,0,0,0,0,2560000,0,67368.42105,0,67368.42105,0,0,0,808421.0526,0,1684210.526,0,0
HCJ03,0,0,404210.5263,0,24185263.16,0,0,0,0,0,202105.2632,0,0,0,0,2560000,0,538947.3684,0,0,0,67368.42105,0,875789.4737,0,1482105.263,0,0
HCJ04,101052.6316,0,1414736.842,0,38400000,0,0,0,0,0,0,0,0,0,0,2223157.895,0,0,0,0,0,101052.6316,0,1010526.316,0,808421.0526,0,0
SK01,144360.9023,0,173233.0827,0,86616.54135,0,0,0,0,4763909.774,0,0,0,0,0,375338.3459,0,664060.1504,0,28872.18045,0,952781.9549,28872.18045,0,0,0,0,0
QSJ01,134736.8421,269473.6842,673684.2105,0,6938947.368,0,538947.3684,0,0,2560000,0,0,0,404210.5263,0,1616842.105,0,5389473.684,0,1482105.263,0,1280000,67368.42105,0,3637894.737,0,0,3233684.211
QSJ02,454736.8421,303157.8947,909473.6842,0,5355789.474,0,50526.31579,0,0,3284210.526,0,0,0,252631.5789,0,1313684.211,0,3233684.211,0,1566315.789,0,0,0,0,3587368.421,0,0,2627368.421
QSJ03,202105.2632,353684.2105,808421.0526,0,4395789.474,0,151578.9474,0,151578.9474,2880000,0,0,0,0,50526.31579,2223157.895,0,404210.5263,0,1616842.105,0,151578.9474,0,0,2374736.842,0,0,2273684.211
NWL01,454736.8421,151578.9474,50526.31579,0,0,0,50526.31579,0,50526.31579,0,1818947.368,0,0,0,0,5658947.368,0,2425263.158,757894.7368,101052.6316,0,101052.6316,0,2677894.737,0,0,0,5760000
NWL02,252631.5789,101052.6316,101052.6316,0,909473.6842,0,1010526.316,0,0,0,1212631.579,0,0,0,0,5002105.263,0,2223157.895,101052.6316,50526.31579,0,50526.31579,0,1717894.737,0,0,0,5861052.632
NWL03,50526.31579,0,50526.31579,0,606315.7895,0,404210.5263,0,151578.9474,2021052.632,0,0,0,0,0,6366315.789,0,11722105.26,707368.4211,202105.2632,0,151578.9474,0,909473.6842,0,4345263.158,0,0
DGB01,18373.20574,0,0,0,0,0,159234.4498,0,128612.4402,0,110239.2344,0,0,61244.01914,0,73492.82297,0,183732.0574,0,42870.8134,0,12248.80383,6124.401914,0,55119.61722,189856.4593,0,0
DGB02,0,0,0,20907.44102,0,0,111506.3521,0,27876.58802,0,0,6969.147005,0,62722.32305,0,34845.73503,0,0,0,34845.73503,0,0,6969.147005,0,188166.9691,90598.91107,0,0
DGB03,6315.789474,0,0,18947.36842,0,0,25263.15789,0,0,0,25263.15789,0,0,31578.94737,0,50526.31579,0,0,0,12631.57895,0,0,0,0,56842.10526,44210.52632,0,0
NLL01,12631.57895,0,0,0,517894.7368,0,0,0,922105.2632,0,176842.1053,0,0,25263.15789,0,568421.0526,0,0,63157.89474,37894.73684,0,12631.57895,0,0,164210.5263,0,0,0
NLL02,0,0,13473.68421,0,700631.5789,0,0,0,485052.6316,0,794947.3684,0,0,80842.10526,0,956631.5789,0,107789.4737,0,13473.68421,0,0,0,0,94315.78947,13473.68421,0,0
NLL03,10637.11911,0,0,0,468033.241,0,31911.35734,0,542493.0748,63822.71468,489307.4792,0,0,0,0,446759.0028,0,0,42548.47645,21274.23823,0,0,0,0,10637.11911,21274.23823,0,0
WN01,18373.20574,0,0,0,0,61244.01914,6124.401914,0,30622.00957,0,110239.2344,0,0,0,0,220478.4689,0,0,0,6124.401914,0,6124.401914,0,0,0,146985.6459,0,0
WN02,8421.052632,8421.052632,0,0,0,33684.21053,8421.052632,0,0,33684.21053,168421.0526,0,0,0,0,395789.4737,0,176842.1053,50526.31579,16842.10526,0,0,16842.10526,0,101052.6316,210526.3158,0,0
WN03,10637.11911,0,10637.11911,0,0,0,42548.47645,0,42548.47645,21274.23823,372299.169,0,0,0,0,170193.9058,0,1319002.77,31911.35734,21274.23823,0,31911.35734,10637.11911,10637.11911,0,425484.7645,0,0
BT01,0,0,50526.31579,0,0,0,0,0,0,101052.6316,1515789.474,0,0,0,0,2880000,0,505263.1579,252631.5789,0,0,0,0,0,0,2046315.789,0,0
BT02,0,0,0,0,0,0,0,0,67368.42105,0,1549473.684,0,0,0,0,3402105.263,0,741052.6316,1145263.158,33684.21053,0,0,0,0,0,2627368.421,0,0
BT03,0,25263.15789,50526.31579,0,0,0,0,0,0,0,555789.4737,0,0,176842.1053,50526.31579,3486315.789,0,429473.6842,909473.6842,0,0,50526.31579,0,0,0,2450526.316,0,0
