,P1,P3,P4,P7,P8,P9,P11,P14,P18,P24,P25,P26,P29,P34,P35,P36,P37,P38,P41,P47,P50,P51,P61,P65,P66,P67,P69,P76,P78,P79,P81,P85,P86,P87,P90,P92,P94,P95,P96,P104,P106,P107,P109,P110,P111,P112,P113,P114,P115,P116,P118,P120,P121,P122,P123,P124,P125,P127,P128,P135,P136,P137,P138,P140,P142,P144,P145,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P161,P162,P164,P165,P166,P168,P173,P174,P175,P176,P177,P178,P179,P180,P181,P184,P187,P191,P192,P193,P194,P195,P196,P197,P200,P201,P205,P206,P207,P212,P214,P215,P216,P217,P273,P275,P276,P277,P278,P281,P282,P283,P286,P287,P288,P291,P299,P300,P303
WSJ03,0,126315.7895,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,252631.5789,0,75789.47368,0,50526.31579,0,0,2197894.737,0,0,0,50526.31579,25263.15789,25263.15789,0,0,25263.15789,0,25263.15789,0,0,0,25263.15789,25263.15789,25263.15789,0,0,0,0,0,0,0,25263.15789,0,0,0,0,0,0,0,0,0,25263.15789,0,0,0,25263.15789,0,0,176842.1053,0,0,0,0,50526.31579,25263.15789,25263.15789,0,0,0,25263.15789,0,75789.47368,25263.15789,75789.47368,0,0,0,0,0,0,75789.47368,0,25263.15789,0,0,0,0,0,0,0,0,0,25263.15789,25263.15789,0,126315.7895,0,0,0,151578.9474,0,0,0,0,50526.31579,126315.7895,0,0,0,25263.15789,0,0,0
HCJ01,0,44912.2807,0,0,157192.9825,0,44912.2807,0,0,0,0,0,22456.14035,0,0,22456.14035,0,0,0,0,22456.14035,0,44912.2807,741052.6316,0,22456.14035,0,0,0,0,898245.614,0,44912.2807,22456.14035,67368.42105,0,44912.2807,22456.14035,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,44912.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247017.5439,157192.9825,336842.1053,0,0,0,0,0,0,0,0,89824.5614,22456.14035,0,0,0,0,0,22456.14035,0,0,0,67368.42105,0,0,22456.14035,0,22456.14035,67368.42105,0,0,0,44912.2807,44912.2807,112280.7018,0,0,0,22456.14035,22456.14035,0,0
HCJ02,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,0,606315.7895,0,0,0,0,0,0,1010526.316,0,0,0,0,0,0,0,0,202105.2632,0,0,0,0,0,67368.42105,0,0,0,0,0,0,67368.42105,134736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336842.1053,0,404210.5263,0,0,0,0,0,0,67368.42105,0,67368.42105,0,0,0,0,0,0,0,0,0,0,67368.42105,0,336842.1053,471578.9474,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,202105.2632,0,0
HCJ03,0,67368.42105,0,0,134736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,471578.9474,0,0,0,0,0,0,741052.6316,0,0,0,67368.42105,0,0,0,0,67368.42105,0,0,0,67368.42105,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269473.6842,0,67368.42105,0,0,0,0,0,0,0,0,0,0,134736.8421,0,336842.1053,0,0,0,67368.42105,0,0,67368.42105,0,0,134736.8421,0,0,0,0,0,0,0,0,0,134736.8421,0,606315.7895,404210.5263,0,0,134736.8421,0,0,0,67368.42105,0,202105.2632,0,0,0,0,336842.1053,0,0
HCJ04,0,0,0,0,404210.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404210.5263,404210.5263,0,303157.8947,0,0,0,0,1515789.474,0,0,0,202105.2632,0,0,0,0,101052.6316,0,0,0,101052.6316,0,101052.6316,0,0,0,0,0,0,202105.2632,0,0,101052.6316,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,101052.6316,0,0,404210.5263,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,101052.6316,0,0,0,101052.6316,0,0,2122105.263,0,0,0,0,0,0,0,0,0,0,0,101052.6316,505263.1579,0,0,505263.1579,0,0,202105.2632,0,0,505263.1579,0,0,101052.6316,0,0,0,0,0,0,0
SK01,57744.3609,0,0,0,173233.0827,0,317593.985,0,0,0,0,115488.7218,0,0,490827.0677,57744.3609,0,0,0,28872.18045,0,28872.18045,57744.3609,0,86616.54135,0,0,0,0,0,866165.4135,0,0,28872.18045,0,86616.54135,28872.18045,0,0,115488.7218,0,28872.18045,0,0,0,28872.18045,259849.6241,0,0,0,0,0,0,28872.18045,28872.18045,0,0,0,28872.18045,0,0,57744.3609,0,86616.54135,0,86616.54135,28872.18045,0,0,0,0,57744.3609,202105.2632,0,86616.54135,115488.7218,115488.7218,346466.1654,28872.18045,1212631.579,115488.7218,86616.54135,0,0,0,0,28872.18045,28872.18045,0,0,0,0,0,0,0,0,0,86616.54135,0,0,0,0,0,0,0,0,144360.9023,86616.54135,115488.7218,0,202105.2632,0,0,57744.3609,0,0,0,0,0,0,0,0,0,0,0,0,86616.54135
QSJ01,0,0,0,0,0,0,269473.6842,0,0,0,0,471578.9474,0,0,0,134736.8421,0,0,0,0,336842.1053,0,3907368.421,336842.1053,0,0,0,0,0,0,202105.2632,0,0,0,0,0,134736.8421,0,0,0,67368.42105,202105.2632,0,0,0,471578.9474,134736.8421,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,67368.42105,0,0,202105.2632,0,0,0,0,0,134736.8421,471578.9474,0,134736.8421,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,134736.8421,0,0,67368.42105,0,0,0,0,0,0,0,0,67368.42105,0,0,1818947.368,67368.42105,0,0,0,0,67368.42105,67368.42105,0,0,0,0,0,0,134736.8421,0,134736.8421
QSJ02,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,50526.31579,0,0,0,0,0,0,4597894.737,50526.31579,50526.31579,0,0,0,0,0,1162105.263,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,454736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,101052.6316,0,50526.31579,0,0,0,0,555789.4737,0,151578.9474,50526.31579,0,0,50526.31579,0,50526.31579,0,0,0,0,0,0,0,0,151578.9474,0,0,0,0,0,0,0,0,0,0,0,0,252631.5789,606315.7895,50526.31579,0,0,0,0,202105.2632,0,0,0,0,151578.9474,0,0,50526.31579,0,0
QSJ03,0,0,0,0,0,0,151578.9474,0,0,0,0,151578.9474,0,0,50526.31579,0,0,0,0,0,0,50526.31579,4800000,151578.9474,50526.31579,0,0,0,0,0,656842.1053,0,0,0,0,0,0,0,0,202105.2632,0,0,0,0,0,101052.6316,101052.6316,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,101052.6316,0,0,0,303157.8947,252631.5789,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151578.9474,0,151578.9474,0,0,0,0,0,0,0,0,0,0,0,555789.4737,0,50526.31579,0,0,0,50526.31579,50526.31579,0,50526.31579,0,50526.31579,0,0,151578.9474,0,50526.31579
NWL01,707368.4211,0,0,0,0,0,707368.4211,0,0,0,0,50526.31579,0,0,3941052.632,303157.8947,0,0,0,0,0,0,50526.31579,707368.4211,0,0,0,0,0,101052.6316,1515789.474,0,0,0,0,0,0,0,0,151578.9474,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,303157.8947,0,0,202105.2632,0,0,0,0,1010526.316,0,0,0,151578.9474,0,0,0,0,0,101052.6316,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,50526.31579,0,50526.31579,0,0,101052.6316,0,151578.9474
