"","Achnanthes_sp.","Amphora_ovalis","Cocconeis_placentula","Coscinodiscus_sp.","Cyclotella_sp.","Cymbella_sp.","Fragilaria_capucina","Fragilaria_sp.","Frustulia_sp.","Gomphonema_sp.","Melosira_granulata","Navicula_sp.","Nitzschia_sp.","Pinnularia_nobilis","Stauroneis_acuta","Surirella_sp.","Synedra_acus","Synedra_sp.","Tabellaria_sp.","Ankistrodesmus_acicularis","Ankistrodesmus_convolutus","Ankistrodesmus_falcatus","Ankistrodesmus_falcatus_var._mirabilis","Botryococcus_braunii","Chlamydomonas_sp.","Chlorella_sp.","Chodatella_cilliata","Closteriopsis_sp.","Coelastrum_microporum","Coelastrum_reticulatum","Coelastrum_sphaericum","Cosmarium_angulosum","Cosmarium_bioculatum","Cosmarium_circulare","Cosmarium_connatum","Cosmarium_depressum","Cosmarium_globosum","Cosmarium_quadrum","Cosmarium_sp.","Cosmarium_trilobulatum","Cosmarium_turgidum","Crucigenia_lauterbornei","Crucigenia_quadrata","Crucigenia_rectangularis","Crucigenia_tetrapedia","Dictyosphaeria_cavernosa","Elakatothrix_gelatinosa","Euastrum_elegans","Eudorina_elegans","Gloeocystis_sp.","Golenkinia_paucispina","Gonatozygon_kinahani","Kirchneriella_contorta","Kirchneriella_lunaris_","Mougeotia_sp.","Nephrocytium_agardhianum","Oedogonium_sp.","Oocystis_lacustris","Pediastrum_duplex","Pediastrum_tetras_var._tetraodon","Pleodorina_californica","Pteromonas_sp.","Radiococcus_sp.","Raphidonema_nivale","Scenedesmus_acuminatus","Scenedesmus_arcuatus","Scenedesmus_armatus","Scenedesmus_bicaudatus","Scenedesmus_bijuga","Scenedesmus_denticulatus","Scenedesmus_dimorphus","Scenedesmus_perforatas","Scenedesmus_quadricauda","Schroederia_robusta","Selenastrum_bibraianum","Sphaerocystis_schroeteri","Staurastrum_bifidum","Staurastrum_connatum","Staurastrum_crenulatum","Staurastrum_gracile","Staurodesmus_sp.","Tetraedron_bifurcatum","Tetraedron_caudatum","Tetraedron_hastatum_var._palatinum","Tetraedron_minimum","Tetraedron_trigonum","Tetraedron_trilobulatum","Tetraedron_tumidulum","Treubaria_triappendiculata","Westella_linearis","Mallomonas_acaroides","Mallomonas_oviformis","Synura_sp.","Chroomonas_caudata","Cryptomonas_erosa","Cryptomonas_marssonii","Cryptomonas_ovata","Glenodinium_pulvisculus","Peridinium_sp.","Euglena_interrupta","Euglena_oxyuris","Euglena_pisciformis","Lepocinclis_texta","Phacus_acuminatus","Phacus_longicauda","Phacus_pleuronectes","Strombomonas_ensifera","Trachelomonas_oblonga","Trachelomonas_reticulata"
"FJ2018090",39587.57732,0,18752.01031,0,106261.3918,0,0,2083.556701,0,0,43754.69072,2083.556701,0,0,2083.556701,0,0,0,0,0,4167.113402,0,0,0,0,335452.6289,4167.113402,4167.113402,10417.78351,0,2083.556701,6250.670103,0,0,0,0,6250.670103,0,0,8334.226804,0,0,0,8334.226804,2083.556701,0,0,0,0,6250.670103,2083.556701,0,0,50005.36082,0,0,0,2083.556701,0,0,0,0,0,0,0,2083.556701,2083.556701,50005.36082,0,0,2083.556701,0,25002.68041,33336.90722,4167.113402,0,0,0,6250.670103,0,2083.556701,2083.556701,0,0,4167.113402,4167.113402,0,0,0,0,0,4167.113402,0,4167.113402,0,0,0,0,0,0,0,4167.113402,0,0,0,6250.670103,0,0,4167.113402
"FJ2018095",42442.05,0,22231.55,4042.1,232420.75,0,2021.05,2021.05,0,2021.05,181894.5,2021.05,2021.05,2021.05,0,2021.05,0,0,0,18189.45,10105.25,0,0,0,0,323368,0,6063.15,2021.05,0,0,0,0,0,0,0,2021.05,0,0,0,0,0,0,0,4042.1,0,0,0,2021.05,0,0,0,0,24252.6,0,0,0,2021.05,0,0,0,0,0,0,0,0,0,16168.4,0,0,0,2021.05,8084.2,10105.25,0,0,0,0,0,0,2021.05,0,2021.05,0,0,8084.2,0,0,0,0,0,0,0,8084.2,0,0,0,0,2021.05,0,0,0,0,4042.1,0,2021.05,0,0,0
"FJ2019010",41395,0,2435,17045,255675,7305,0,0,0,2435,289765,9740,4870,2435,0,0,0,0,0,9740,9740,0,0,0,0,360380,0,7305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4870,0,0,0,0,0,0,0,0,24350,4870,0,0,0,0,0,0,0,2435,0,0,0,0,19480,4870,0,0,0,0,2435,0,0,0,0,0,0,0,0,0,0,0,9740,0,0,0,0,0,0,0,2435,0,0,0,0,0,0,0,0,0,7305,0,0,0,0,4870
"FJ2019018",24917.05479,0,8305.684932,8305.684932,318384.589,0,0,2768.561644,2768.561644,0,274087.6027,2768.561644,2768.561644,2768.561644,0,0,0,0,0,11074.24658,22148.49315,0,0,0,0,578629.3836,0,19379.93151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5537.123288,11074.24658,0,0,0,0,0,0,0,0,24917.05479,8305.684932,0,0,0,0,0,0,0,0,0,0,0,0,19379.93151,0,0,0,0,0,5537.123288,0,0,0,0,0,0,0,0,0,0,0,5537.123288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768.561644,2768.561644,0,0,0
"FJ2019019",14970.74074,0,3742.685185,0,258245.2778,3742.685185,0,3742.685185,0,0,280701.3889,0,0,0,0,0,0,0,0,26198.7963,11228.05556,7485.37037,0,0,0,1107834.815,0,11228.05556,3742.685185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7485.37037,0,0,0,0,0,0,0,0,33684.16667,0,0,0,0,0,0,0,0,3742.685185,0,0,0,0,26198.7963,0,0,0,0,0,11228.05556,7485.37037,0,0,0,0,0,3742.685185,0,0,0,0,3742.685185,0,0,0,0,0,0,0,3742.685185,0,0,0,0,0,0,0,0,3742.685185,0,0,0,0,0,3742.685185
"FJ2019020",19248.09524,4812.02381,0,9624.047619,1217442.024,0,0,4812.02381,0,0,298345.4762,4812.02381,9624.047619,0,0,0,4812.02381,0,0,33684.16667,9624.047619,0,0,0,0,659247.2619,0,33684.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19248.09524,14436.07143,0,0,0,0,0,0,0,0,14436.07143,0,0,0,0,0,0,0,0,0,0,0,0,0,24060.11905,0,0,0,0,0,14436.07143,4812.02381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4812.02381,0,0,0,0,9624.047619,0,0,0,0,4812.02381,9624.047619,0,0,0,0
"FJ2019023",71331.17647,0,23777.05882,0,166439.4118,23777.05882,0,0,0,0,356655.8824,0,11888.52941,0,23777.05882,0,35665.58824,0,0,23777.05882,249659.1176,0,0,0,0,3007797.941,0,11888.52941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118885.2941,0,0,0,11888.52941,0,0,0,0,0,0,0,47554.11765,106996.7647,392321.4706,0,11888.52941,11888.52941,0,0,725200.2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11888.52941,0,130773.8235,0,0,0,0,0,0,0,0,0,11888.52941,0,0,0,0,0
"FJ2019024",134736.6667,0,16842.08333,16842.08333,33684.16667,0,0,0,0,0,336841.6667,0,16842.08333,0,0,0,67368.33333,0,0,50526.25,117894.5833,0,0,0,0,2795785.833,0,0,16842.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.33333,0,0,0,0,0,0,0,0,0,101052.5,0,0,0,0,0,16842.08333,16842.08333,0,0,0,0,0,0,555788.75,0,16842.08333,0,0,0,252631.25,0,0,0,0,0,0,0,16842.08333,0,0,0,16842.08333,0,0,0,0,0,0,0,1936839.583,33684.16667,0,16842.08333,16842.08333,0,0,0,0,0,0,0,0,0,0,33684.16667
"FJ2019039",142222.037,0,52397.59259,0,134736.6667,0,0,0,0,0,89824.44444,7485.37037,0,0,0,0,321870.9259,0,0,7485.37037,67368.33333,14970.74074,0,0,0,965612.7778,0,0,0,0,22456.11111,7485.37037,0,0,0,0,0,0,0,0,7485.37037,0,0,0,0,0,0,0,0,0,0,0,0,22456.11111,0,44912.22222,0,0,0,0,0,0,0,0,0,0,0,194619.6296,0,7485.37037,0,7485.37037,0,112280.5556,37426.85185,0,0,14970.74074,0,0,0,7485.37037,0,0,0,7485.37037,0,0,0,0,0,0,0,7485.37037,0,0,0,0,0,0,0,0,7485.37037,0,0,22456.11111,0,0,7485.37037
"FJ2019040",633874.7727,0,27559.77273,18373.18182,137798.8636,18373.18182,0,0,0,0,55119.54545,0,0,0,0,0,146985.4545,0,18373.18182,27559.77273,9186.590909,18373.18182,0,0,0,2085356.136,0,0,18373.18182,0,0,9186.590909,0,0,0,0,18373.18182,0,9186.590909,36746.36364,0,0,0,18373.18182,0,0,0,0,0,0,0,0,0,64306.13636,0,0,0,0,0,0,0,0,0,0,0,0,0,64306.13636,9186.590909,0,0,9186.590909,0,183731.8182,0,0,0,0,0,9186.590909,0,0,18373.18182,0,9186.590909,174545.2273,0,0,0,0,0,0,0,73492.72727,0,0,55119.54545,0,9186.590909,0,0,0,18373.18182,9186.590909,0,55119.54545,0,0,110239.0909
"FJ2019041",968710.1724,0,62722.24138,20907.41379,404210,0,0,13938.27586,0,0,90598.7931,0,20907.41379,0,0,0,0,0,0,13938.27586,0,0,0,0,0,1087185.517,0,0,0,6969.137931,6969.137931,0,0,0,0,0,0,0,13938.27586,27876.55172,0,0,0,0,0,0,0,0,0,0,0,0,0,41814.82759,0,0,0,6969.137931,0,6969.137931,0,0,0,0,0,6969.137931,6969.137931,41814.82759,0,0,0,0,0,41814.82759,0,0,0,0,0,0,0,0,27876.55172,0,0,313611.2069,6969.137931,0,0,0,0,0,0,0,0,0,0,0,6969.137931,0,0,0,0,0,6969.137931,6969.137931,0,0,20907.41379
"FJ2019042",303157.5,0,12631.5625,0,315789.0625,12631.5625,0,12631.5625,0,0,25263.125,0,37894.6875,0,12631.5625,0,0,0,0,0,12631.5625,0,0,0,0,3359995.625,0,0,0,0,0,37894.6875,0,0,12631.5625,0,151578.75,63157.8125,0,315789.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63157.8125,0,0,12631.5625,0,0,63157.8125,12631.5625,0,25263.125,0,0,0,0,0,0,0,88420.9375,25263.125,0,0,0,0,0,0,0,530525.625,0,0,25263.125,0,0,0,0,0,0,0,0,12631.5625,12631.5625,0,25263.125
"FJ2019044",3678311,0,60631.5,0,121263,0,20210.5,0,0,0,20210.5,0,0,0,0,0,181894.5,0,0,80842,0,0,0,0,0,2748628,0,0,0,101052.5,20210.5,202105,0,0,20210.5,0,222315.5,0,0,464841.5,0,0,0,0,0,0,0,0,0,0,0,0,0,40421,0,0,0,20210.5,0,0,0,0,0,0,0,0,0,60631.5,0,0,0,0,0,20210.5,0,0,0,0,80842,0,0,0,0,0,101052.5,40421,0,0,0,0,0,40421,0,101052.5,0,0,0,0,0,20210.5,0,0,0,0,0,20210.5,0,0,60631.5
"FJ2019062",277894.375,0,12631.5625,0,113684.0625,0,50526.25,0,0,0,12631.5625,37894.6875,0,0,0,0,0,0,0,0,0,50526.25,0,0,0,2058944.688,37894.6875,0,25263.125,0,12631.5625,606315,0,0,0,0,37894.6875,0,0,50526.25,0,0,0,75789.375,0,0,0,0,0,0,0,0,0,12631.5625,0,0,0,25263.125,0,0,0,0,0,0,0,0,0,265262.8125,0,0,0,0,176841.875,543157.1875,37894.6875,0,0,0,252631.25,0,12631.5625,0,12631.5625,0,0,0,0,0,0,0,0,12631.5625,0,126315.625,0,0,0,0,0,0,0,0,0,0,12631.5625,0,0,0,12631.5625
"FJ2019065",138282.3684,0,127645.2632,0,1436009.211,0,0,0,0,0,106371.0526,0,0,0,0,0,0,0,0,319113.1579,0,21274.21053,0,0,0,957339.4737,10637.10526,10637.10526,42548.42105,0,0,287201.8421,0,0,74459.73684,0,0,0,0,10637.10526,0,0,0,42548.42105,0,0,0,0,10637.10526,0,0,10637.10526,0,21274.21053,0,0,0,31911.31579,0,0,0,0,0,0,0,0,0,138282.3684,0,0,0,0,340387.3684,0,10637.10526,0,0,21274.21053,74459.73684,0,0,0,10637.10526,0,0,21274.21053,0,0,0,0,0,0,0,616952.1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53185.52632
"FJ2019066",209323.0357,0,93834.46429,0,1450825.179,0,0,0,0,0,86616.42857,0,0,0,0,0,0,0,0,86616.42857,0,0,0,0,0,664059.2857,7218.035714,7218.035714,0,14436.07143,21654.10714,137142.6786,0,0,21654.10714,0,7218.035714,7218.035714,0,7218.035714,0,0,0,21654.10714,0,0,0,0,21654.10714,0,0,0,0,0,0,0,0,21654.10714,0,0,0,0,0,0,0,0,0,122706.6071,0,0,7218.035714,0,151578.75,14436.07143,7218.035714,0,0,14436.07143,28872.14286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86616.42857,0,0,7218.035714,0,0,0,0,0,0,0,0,0,7218.035714,0,0
"FJ2019070",265927.6316,0,148919.4737,0,191467.8947,0,0,0,0,0,10637.10526,0,0,0,0,0,0,0,0,159556.5789,0,21274.21053,0,0,0,1478557.632,0,10637.10526,0,0,0,1223267.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10637.10526,0,0,0,10637.10526,0,0,0,0,0,0,0,0,0,308476.0526,0,0,0,0,74459.73684,74459.73684,10637.10526,0,223379.2105,0,159556.5789,0,0,0,0,0,10637.10526,21274.21053,0,0,0,0,0,0,0,42548.42105,0,0,0,0,0,0,0,0,10637.10526,21274.21053,0,10637.10526,0,0,10637.10526
"FJ2019082",151578.75,0,168420.8333,0,319999.5833,0,0,0,0,0,33684.16667,0,0,16842.08333,0,0,0,0,0,353683.75,0,0,0,0,0,1296840.417,0,67368.33333,0,0,0,1482103.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684.16667,0,0,0,67368.33333,0,0,16842.08333,16842.08333,0,505262.5,0,0,0,0,168420.8333,50526.25,33684.16667,0,202105,0,336841.6667,134736.6667,0,0,0,0,16842.08333,16842.08333,0,0,0,0,16842.08333,0,0,16842.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117894.5833
"FJ2020009",26361.52174,0,21967.93478,4393.586957,360274.1304,0,0,0,0,0,83478.15217,26361.52174,0,0,0,0,4393.586957,0,4393.586957,333912.6087,0,0,0,0,0,527230.4348,0,26361.52174,0,4393.586957,0,0,0,0,0,0,8787.173913,0,0,0,0,0,0,26361.52174,0,0,0,4393.586957,26361.52174,0,0,0,0,250434.4565,0,0,0,8787.173913,0,0,0,0,0,0,0,0,4393.586957,83478.15217,0,0,0,0,0,4393.586957,0,0,0,0,0,0,13180.76087,0,0,0,13180.76087,21967.93478,4393.586957,0,4393.586957,0,0,0,0,26361.52174,0,0,8787.173913,0,0,0,0,0,0,4393.586957,4393.586957,0,0,0,13180.76087
"FJ2020016",52723.04348,0,21967.93478,0,505262.5,8787.173913,0,0,4393.586957,13180.76087,114233.2609,13180.76087,0,0,0,0,0,0,0,162562.7174,13180.76087,17574.34783,0,0,0,562379.1304,0,43935.86957,0,0,0,0,0,0,0,0,4393.586957,0,0,0,0,0,0,39542.28261,0,0,0,0,8787.173913,0,0,0,0,215285.7609,0,0,0,4393.586957,0,0,0,0,0,0,0,0,0,70297.3913,0,0,4393.586957,0,8787.173913,4393.586957,0,0,13180.76087,0,0,0,4393.586957,13180.76087,4393.586957,0,8787.173913,26361.52174,0,0,0,0,21967.93478,0,0,30755.1087,0,0,0,0,4393.586957,4393.586957,0,0,0,8787.173913,4393.586957,0,0,0,8787.173913
